# Every instruction every opcode in text.rs is written as, filled in with x1 to x4, the constant 1
# and [x9, #16], then assembled by GNU as 2.42 (aarch64-linux-gnu-as) and read back with objdump -d.
# Columns: the word GNU as wrote, the line it was given, the opcode.
7100045f	cmp w2, #1	cmp_set_ge_ri_32
1a9fb7e1	cset w1, ge	cmp_set_ge_ri_32
f100045f	cmp x2, #1	cmp_set_ge_ri_64
1a9fb7e1	cset w1, ge	cmp_set_ge_ri_64
7100045f	cmp w2, #1	cmp_set_lo_ri_32
1a9f27e1	cset w1, lo	cmp_set_lo_ri_32
f100045f	cmp x2, #1	cmp_set_lo_ri_64
1a9f27e1	cset w1, lo	cmp_set_lo_ri_64
7100045f	cmp w2, #1	cmp_set_ls_ri_32
1a9f87e1	cset w1, ls	cmp_set_ls_ri_32
f100045f	cmp x2, #1	cmp_set_ls_ri_64
1a9f87e1	cset w1, ls	cmp_set_ls_ri_64
7100045f	cmp w2, #1	cmp_set_hi_ri_32
1a9f97e1	cset w1, hi	cmp_set_hi_ri_32
f100045f	cmp x2, #1	cmp_set_hi_ri_64
1a9f97e1	cset w1, hi	cmp_set_hi_ri_64
7100045f	cmp w2, #1	cmp_set_hs_ri_32
1a9f37e1	cset w1, hs	cmp_set_hs_ri_32
f100045f	cmp x2, #1	cmp_set_hs_ri_64
1a9f37e1	cset w1, hs	cmp_set_hs_ri_64
7100009f	cmp w4, #0	sel_32
1a821061	csel w1, w3, w2, ne	sel_32
7100009f	cmp w4, #0	sel_64
9a821061	csel x1, x3, x2, ne	sel_64
1a820061	csel w1, w3, w2, eq	csel_eq_32
9a820061	csel x1, x3, x2, eq	csel_eq_64
1a821061	csel w1, w3, w2, ne	csel_ne_32
9a821061	csel x1, x3, x2, ne	csel_ne_64
1a82b061	csel w1, w3, w2, lt	csel_lt_32
9a82b061	csel x1, x3, x2, lt	csel_lt_64
1a82d061	csel w1, w3, w2, le	csel_le_32
9a82d061	csel x1, x3, x2, le	csel_le_64
1a82c061	csel w1, w3, w2, gt	csel_gt_32
9a82c061	csel x1, x3, x2, gt	csel_gt_64
1a82a061	csel w1, w3, w2, ge	csel_ge_32
9a82a061	csel x1, x3, x2, ge	csel_ge_64
1a823061	csel w1, w3, w2, lo	csel_lo_32
9a823061	csel x1, x3, x2, lo	csel_lo_64
1a829061	csel w1, w3, w2, ls	csel_ls_32
9a829061	csel x1, x3, x2, ls	csel_ls_64
1a828061	csel w1, w3, w2, hi	csel_hi_32
9a828061	csel x1, x3, x2, hi	csel_hi_64
1a822061	csel w1, w3, w2, hs	csel_hs_32
9a822061	csel x1, x3, x2, hs	csel_hs_64
1a9f17e1	cset w1, eq	cset_eq
1a9f07e1	cset w1, ne	cset_ne
1a9fa7e1	cset w1, lt	cset_lt
1a9fc7e1	cset w1, le	cset_le
1a9fd7e1	cset w1, gt	cset_gt
1a9fb7e1	cset w1, ge	cset_ge
1a9f27e1	cset w1, lo	cset_lo
1a9f87e1	cset w1, ls	cset_ls
1a9f97e1	cset w1, hi	cset_hi
1a9f37e1	cset w1, hs	cset_hs
1a9f57e1	cset w1, mi	cset_mi
91004121	add x1, x9, #16	lea_64
90000001	adrp x1, s	addr_64
91000021	add x1, x1, :lo12:s	addr_64
10000001	adr x1, s	adr_64
90000001	adrp x1, :got:s	got_64
f9400021	ldr x1, [x1, :got_lo12:s]	got_64
90000001	adrp x1, :gottprel:s	gottprel_64
f9400021	ldr x1, [x1, :gottprel_lo12:s]	gottprel_64
d53bd041	mrs x1, tpidr_el0	thread_64
d53bd041	mrs x1, tpidr_el0	tls_64
91400021	add x1, x1, :tprel_hi12:s, lsl #12	tls_64
91000021	add x1, x1, :tprel_lo12_nc:s	tls_64
39404121	ldrb w1, [x9, #16]	ldr_8
79402121	ldrh w1, [x9, #16]	ldr_16
b9401121	ldr w1, [x9, #16]	ldr_32
f9400921	ldr x1, [x9, #16]	ldr_64
39c04121	ldrsb w1, [x9, #16]	ldrs_8_32
39804121	ldrsb x1, [x9, #16]	ldrs_8_64
79c02121	ldrsh w1, [x9, #16]	ldrs_16_32
79802121	ldrsh x1, [x9, #16]	ldrs_16_64
b9801121	ldrsw x1, [x9, #16]	ldrs_32_64
39004121	strb w1, [x9, #16]	str_8
79002121	strh w1, [x9, #16]	str_16
b9001121	str w1, [x9, #16]	str_32
f9000921	str x1, [x9, #16]	str_64
bd401121	ldr s1, [x9, #16]	ldr_f32
fd400921	ldr d1, [x9, #16]	ldr_f64
3dc00521	ldr q1, [x9, #16]	ldr_f128
bd001121	str s1, [x9, #16]	str_f32
fd000921	str d1, [x9, #16]	str_f64
3d800521	str q1, [x9, #16]	str_f128
1e232841	fadd s1, s2, s3	fadd_f32
1e632841	fadd d1, d2, d3	fadd_f64
1e233841	fsub s1, s2, s3	fsub_f32
1e633841	fsub d1, d2, d3	fsub_f64
1e230841	fmul s1, s2, s3	fmul_f32
1e630841	fmul d1, d2, d3	fmul_f64
1e231841	fdiv s1, s2, s3	fdiv_f32
1e631841	fdiv d1, d2, d3	fdiv_f64
1e235841	fmin s1, s2, s3	fmin_f32
1e635841	fmin d1, d2, d3	fmin_f64
1e234841	fmax s1, s2, s3	fmax_f32
1e634841	fmax d1, d2, d3	fmax_f64
1e237841	fminnm s1, s2, s3	fminnm_f32
1e637841	fminnm d1, d2, d3	fminnm_f64
1e236841	fmaxnm s1, s2, s3	fmaxnm_f32
